title,picture,author,synopsis,classement,language,genre,link_fanfic
Winning his heart,/static/images/d_60_90.jpg,Shippers1412,"She always stood by his side, even if his heart still yearning for that woman, who left him to be with someone else. She felt his pain, sadness, and longing for the person you love to love you back. She tried but it never works, yet she never gave up and her wish come true when that woman came and gave a hard mission for her. A mission to change the past by winning his heart!",Rated: T , English , Adventure/Romance ,/s/13777600/1/Winning-his-heart
Collection short story of EriTomo,/static/images/d_60_90.jpg,Shippers1412,"Warning! This is just a short story so there will be a high chance that some will leave you unsatisfied ( ) and The main couple of this story is, of course, Tomoyo x Eriol ( )",Rated: T , English , Drama/Romance ,/s/13757121/1/Collection-short-story-of-EriTomo
Demons For My Roomate,/static/images/d_60_90.jpg,BlueSnowDrop,"I saw her staring at me with those wide emerald eyes. Her pupil did not move. She did not blink. She has no expression. She has no fear. I leaned close to her until our eyes are only an inch apart and asked her, ""Are you blind?""",Rated: T , English , Suspense/Romance ,/s/5033278/1/Demons-For-My-Roomate
My Secret Boyfriend,/static/images/d_60_90.jpg,BlueSnowDrop,"'I'll be your secret boyfriend' 'My what' 'Your lovely and dreamy boy' BAM! He had it all, the looks, the body, and of course his weird side of humor. But there was one problem with him, he was a spirit that only she could only see!",Rated: T , English , Romance ,/s/3080706/1/My-Secret-Boyfriend
Youself,/static/images/d_60_90.jpg,Youself,"After the incident that happens a week ago, Tomoyo lost her voice. How will Eriol deal with it?",Rated: K+ , English , Romance ,/s/13887003/1/Youself
Dear Mom,/static/images/d_60_90.jpg,Wawa101,"On Mother's Day, Sakura writes a letter to her Mom. Very short one-shot. Mention of E/S, but no actual appearance.",Rated: K , English , Family ,/s/13876536/1/Dear-Mom
Patience,/static/images/d_60_90.jpg,Doctor Mayfair,"The High School AU no one asked. Sakura's High School years were going to be perfect… Until her old nemesis transferred to her school, her class, and the desk right behind her. Despite their turbulent past, Sakura is willing to start their relationship over, but what is on Syaoran Li's",Rated: T , English , Romance/Drama ,/s/13862816/1/Patience
Time,/static/images/d_60_90.jpg,Angel Nat-Chan,Sakura thanks Li...,Rated: K , English , Chapters: 1 ,/s/13865263/1/Time
To Be With You,/static/images/d_60_90.jpg,To Be With You,"Sakura & Eriol are happy together. But sometimes, to love someone is to let them go. EriolxSakura, rated T for language and theme. COMPLETE",Rated: T , English , Friendship/Romance ,/s/13842242/1/To-Be-With-You
Words Don't Come Easy,/static/images/d_60_90.jpg,Naminae,"Sakura Kinomoto is an average 24-year old girl, trying to find where she belongs in the world. After moving to Tokyo for her new job, she meets a man who grants her a generous act of kindness. She suddenly finds herself having to pay-it-forward to another stranger. [AU]",Rated: T , English , Romance/Hurt/Comfort ,/s/12315108/1/Words-Don-t-Come-Easy
Little Wolf,/static/images/d_60_90.jpg,BlueSnowDrop,Touya got a nice MP3 player and I got a perverted wolf for my Christmas present. It's not a normal wolf I'll warn you. One Christmas Eve the wolf climb over to my bed and the next morning I saw an amber eyes guy lying with me!,Rated: T , English , Romance/Humor ,/s/2189332/1/Little-Wolf
Fugitive Guardian Beast Seeks Experienced Cardcaptor,/static/images/d_60_90.jpg,Fugitive Guardian Beast Seeks Experienced Cardcaptor,"HELP WANTED: Fugitive guardian beast seeking the Master of the Clow Cards to settle a centuries-old feud and meld two opposing magic systems into one. Magical powers and sealing wand required, detailed knowledge of Clow Reed's past preferred. Card-capturing experience a must. Inquire within. [Post manga; non-Clear Card continuity]",Rated: K+ , English , Fantasy/Friendship ,/s/12790362/1/Fugitive-Guardian-Beast-Seeks-Experienced-Cardcaptor
Birthday Boy,/static/images/d_60_90.jpg,Wawa101,Eriol and Sakura celebrate his birthday together. E/S,Rated: K , English , Romance ,/s/13846565/1/Birthday-Boy
The Void Contract,/static/images/d_60_90.jpg,Mikazukino Hikari,"A slightly less angsty take on the what if: Unable to stop the Void from taking Syaoran's emotions, the two deal with the aftermath of a Contract that should never have been made.",Rated: K+ , English , Romance ,/s/13844206/1/The-Void-Contract
